SuperBuiltUp Area,Area,Carpet Area,Price,FloorNumber,Parking,Furnishing,Location,Flooring,Bathrooms,Bedrooms,Balconies,Property
,595,,36,5,,,Karanjade,Vitrified,1,1,1,Residential Apartment
,695,,39,1,1,Semifurnished,Karanjade,Vitrified,1,1,3,Residential Apartment
499,400,345,15,2,1,Unfurnished,Neral,Vitrified,1,1,2,Residential Apartment
499,400,347,14,3,1,Unfurnished,Neral,Vitrified,1,1,2,Residential Apartment
880,,650,90,7,1,,Kasar vadavali,Vitrified,2,2,1,Residential Apartment
,1010,,165,4,1,Unfurnished,Sector 19A Nerul,Vitrified,2,2,3,Residential Apartment
575,,53.42,37.4,10,1,,Mira Road,Vitrified,1,1,3,Residential Apartment
,918,,56,12,1,Unfurnished,Nilje Gaon,Marble,2,2,1,Residential Apartment
675,,625,42,1,1,Unfurnished,Dombala,Vitrified,1,1,3,Residential Apartment
1150,1125,748,99,16,1,Unfurnished,Sector-6 Kharghar,Vitrified,2,2,3,Residential Apartment
1500,1400,1050,380,8,1,Semifurnished,Chembur (East),Vitrified,3,3,3,Residential Apartment
740,,481,24.06,4,,Semifurnished,Palghar,Vitrified,2,2,3,Residential Apartment
1277,,790,225,20,1,,SV Patel Nagar,,2,2,0,Residential Apartment
1655,1400,900,138,11,1,Unfurnished,Sector 23 Ulwe,Vitrified,3,3,3,Residential Apartment
,,458,52,27,1,Semifurnished,Anjurdive,,2,1,0,Residential Apartment
,,690,200,14,1,Unfurnished,Film City Road,Vitrified,2,2,0,Residential Apartment
,,1070,120,9,1,Semifurnished,Anjurdive,Marble,3,3,0,Residential Apartment
,665,,55,6,1,Unfurnished,Kharghar,Vitrified,1,1,2,Residential Apartment
1180,,,98.5,9,1,Unfurnished,Sector 23 Ulwe,Vitrified,2,2,2,Residential Apartment
1280,1200,750,77,13,1,Unfurnished,Sector 19 Ulwe,Vitrified,2,2,2,Residential Apartment
510,,500,110,3,1,Unfurnished,Chembur,Vitrified,1,1,0,Residential Apartment
900,831,600,72,13,1,Unfurnished,Kasar vadavali,Vitrified,2,2,0,Residential Apartment
,1500,,165,12,,,Yashwant Nagar,,3,3,0,Residential Apartment
660,610,480,56,1,1,,Vijay Nagari,Vitrified,1,1,1,Residential Apartment
3200,3100,2000,800,11,1,Semifurnished,Chembur,Vitrified,4,4,3,Residential Apartment
1000,,700,165,14,1,Semifurnished,Malad (West),Vitrified,2,2,0,Residential Apartment
,1470,,540,20,2,Semifurnished,Hiranandani Gardens - Powai,Marble,3,3,0,Residential Apartment
650,,,54,3,,,Sector 14 Belapur,Vitrified,2,1,1,Residential Apartment
,1050,,73,4,,,Kalyan (East),Vitrified,2,2,1,Residential Apartment
,1080,,44,3,,,Ulhasnagar,Marble,3,2,1,Independent House/Villa
670,580,430,64,5,1,,Waghbil,Vitrified,1,1,0,Residential Apartment
840,,540,85,7,1,Unfurnished,Balkum,Vitrified,2,2,0,Residential Apartment
1234,,,120,3,1,Unfurnished,Sector 10 Kharghar,Vitrified,2,2,2,Residential Apartment
1728,1700,1091,530,32,1,Unfurnished,Worli,Vitrified,3,3,3,Residential Apartment
,2645,1990,550,5,2,Unfurnished,Manpada,Vitrified,4,4,3,Residential Apartment
835,,501,34.66,14,,Semifurnished,Virar West,Vitrified,2,2,3,Residential Apartment
575,,,37,1,1,Semifurnished,Nalasopara (West),Vitrified,1,1,1,Residential Apartment
675,,445,25.65,3,1,Semifurnished,Virar West,Vitrified,2,1,1,Residential Apartment
,1400,952,110,32,1,Unfurnished,Ghodbunder Road,Vitrified,3,3,1,Residential Apartment
1510,1200,1000,195,3,1,,Sector-19 Airoli,Vitrified,3,3,3,Residential Apartment
,,575,250,9,1,Furnished,Prabhadevi,Marble,1,1,1,Residential Apartment
1500,1420,1120,162,16,1,Semifurnished,Dokali Pada,Vitrified,3,4,2,Residential Apartment
,2600,2400,750,9,3,Furnished,Chembur (East),Marble,4,4,1,Residential Apartment
,1050,750,100,15,1,Semifurnished,Ghodbunder Road,,2,2,2,Residential Apartment
,2165,1560,480,24,2,Semifurnished,Hiranandani Estate,Vitrified,4,4,1,Residential Apartment
1055,,,73,11,,Unfurnished,Mira Road,Vitrified,2,2,3,Residential Apartment
1100,,,66,11,1,Unfurnished,Kharghar,Vitrified,2,2,3,Residential Apartment
696,,,58,5,1,Unfurnished,Sector 20 Ulwe,Vitrified,1,1,3,Residential Apartment
645,,,32,2,1,Unfurnished,Karanjade,Vitrified,1,1,2,Residential Apartment
,530,,32,3,,,Manickpur,,1,1,1,Independent/Builder Floor
1060,,660,84,11,1,Semifurnished,Mira Road East,Vitrified,2,2,3,Residential Apartment
1250,1000,750,354,9,1,Semifurnished,Powai,Marble,2,2,1,Residential Apartment
1089,,,174,12,1,Semifurnished,Andheri (East),Vitrified,2,2,1,Residential Apartment
,,360,80,1,1,,L I C Colony,,1,1,1,Residential Apartment
1600,,832,291,18,2,Unfurnished,Borivali (West),Marble,2,3,0,Residential Apartment
,,419,96,10,1,Unfurnished,Thane West,Vitrified,1,1,1,Residential Apartment
,,751,190,5,1,Unfurnished,Jogeshwari (East),Vitrified,2,2,1,Residential Apartment
,530,350,51,3,,Unfurnished,Jui Nagar,Mosaic,1,1,1,Residential Apartment
1161,1000,850,85,16,1,,Dombivli (East),Vitrified,2,3,2,Residential Apartment
925,,700,85,,1,Unfurnished,Brahmand,Vitrified,2,2,1,Residential Apartment
725,468,460,150,5,1,,Azad Nagar,Vitrified,2,2,2,Residential Apartment
1077,,,230,8,1,Unfurnished,Thane West,Vitrified,2,2,3,Residential Apartment
,1550,1250,335,7,1,Unfurnished,Mulund (West),Marble,3,3,2,Residential Apartment
925,,685,178,8,,,Chakala,,2,3,0,Residential Apartment
,,390,15,4,,,Diva,,1,1,0,Residential Apartment
,630,,36,6,1,,Ulwe,Vitrified,2,1,3,Residential Apartment
600,,400,225,2,1,,Patel Park,,1,1,0,Residential Apartment
,650,44.42,100,3,1,,Bhandup (West),,1,1,3,Residential Apartment
